date,avg_temp,min_temp,max_temp
1907-10,13.9,3.3,25.4
1907-11,5.3,-8.9,21.3
1907-12,-3.9,-20.1,9
1908-01,-3.5,-14.3,6.2
1908-02,-4,-15.8,8.4
1908-03,2.9,-7.4,18.2
1908-04,10.1,-0.7,22.9
1908-05,14.9,5.2,25.2
1908-06,20.7,11.6,32.4
1908-07,23.5,14.7,32.9
1908-08,24.3,14.8,33.6
1908-09,19.3,9,28.7
1908-10,13.6,-0.3,25.3
1908-11,3.6,-8.6,18.9
1908-12,-0.8,-12.7,11.7
1909-01,-2.5,-13.6,7.6
1909-02,-3.2,-13.2,8.8
1909-03,1.8,-8.7,15.2
1909-04,10.4,-1.6,23.3
1909-05,15.4,5.7,29.8
1909-06,20.6,11.2,31.7
1909-07,24.6,15.4,31.8
1909-08,25.3,19.8,35.6
1909-09,20.2,10.1,29.5
1909-10,12.2,-0.8,26.5
1909-11,5.2,-7,20.3
1909-12,-3.4,-14.6,11
1910-01,-2.2,-19.9,8
1910-02,-3.4,-19.6,8.3
1910-03,2.5,-8.6,15
1910-04,9.9,-1.8,23
1910-05,16.3,5.9,31
1910-06,19.8,12.4,31.5
1910-07,23.3,15.9,33.3
1910-08,24.2,16.7,32
1910-09,19.1,10.2,27
1910-10,13.7,1.3,24.1
1910-11,5.5,-8.4,20.2
1910-12,-4.6,-16.8,5.8
1911-01,-5,-21.5,8.8
1911-02,-1.1,-11.2,12.5
1911-03,4,-5.3,19.1
1911-04,9.4,0.3,24.1
1911-05,15.6,3.7,30
1911-06,20.3,10.7,30.6
1911-07,23.5,16.9,31
1911-08,25,18,34.5
1911-09,20.8,11,32.8
1911-10,11.6,0.1,22.9
1911-11,6,-4.9,15.7
1911-12,-3,-14.9,9.5
1912-01,-4.7,-15.2,5.4
1912-02,1,-9.9,14.7
1912-03,4.1,-6.8,16.3
1912-04,9.8,-2.5,23.1
1912-05,14.8,4.7,29.7
1912-06,20.7,12.3,30
1912-07,23.8,16,32.2
1912-08,24.6,17.7,34
1912-09,17.7,7.3,32.2
1912-10,11.1,-1.2,25.7
1912-11,1.4,-9.9,16.5
1912-12,-3,-18.6,8.8
1913-01,-5.1,-18.9,6.3
1913-02,-3.7,-19.6,11.5
1913-03,1.9,-12,18.4
1913-04,10.9,0.7,25.6
1913-05,14.4,5,30
1913-06,20.2,13.3,30.8
1913-07,22.3,13,30.7
1913-08,23.8,14.4,31.7
1913-09,19.3,8,30
1913-10,13,-1,30.1
